ID	Document
D1	texte index precision moteur document rappel systeme
D2	terme precision requete recherche utilisateur collection moteur classement texte systeme inverse
D3	resultat rappel classement collection terme requete texte
D4	resultat terme index inverse texte pertinent web classement rappel recherche indexation
D5	texte systeme moteur classement information document requete utilisateur indexation precision inverse terme
D6	recherche moteur web algorithme document inverse texte precision indexation utilisateur index information
D7	rappel texte terme classement information utilisateur precision pertinent systeme collection
D8	inverse document web pertinent precision systeme algorithme collection moteur
D9	information terme systeme utilisateur collection
D10	web moteur inverse precision systeme utilisateur terme texte document collection
D11	document texte inverse classement moteur pertinent rappel
D12	resultat requete recherche systeme utilisateur terme algorithme document information
D13	collection algorithme utilisateur web requete inverse precision moteur pertinent index resultat information
D14	texte algorithme collection utilisateur precision recherche web terme
D15	requete recherche information classement utilisateur texte resultat pertinent precision indexation web
D16	systeme requete moteur pertinent information rappel texte inverse
D17	algorithme collection moteur document utilisateur
D18	web indexation index moteur collection requete resultat precision document texte
D19	utilisateur terme pertinent resultat document classement texte rappel algorithme collection index requete
D20	document texte recherche requete pertinent inverse indexation terme collection algorithme
D21	algorithme texte collection pertinent inverse classement recherche utilisateur requete
D22	systeme inverse document resultat utilisateur terme index information rappel recherche
D23	utilisateur classement pertinent rappel inverse
D24	texte resultat collection web moteur algorithme index
D25	classement web requete information collection pertinent
D26	resultat inverse collection pertinent rappel requete terme indexation recherche index moteur precision
D27	resultat document index recherche information texte
D28	inverse moteur index document rappel utilisateur pertinent web indexation precision
D29	requete moteur algorithme systeme indexation
D30	recherche moteur systeme collection inverse utilisateur
D31	recherche indexation requete information moteur collection index rappel precision resultat
D32	resultat collection precision pertinent systeme requete rappel utilisateur recherche terme classement moteur
D33	recherche information classement texte web terme algorithme inverse collection precision rappel utilisateur
D34	systeme moteur document algorithme requete utilisateur terme resultat classement indexation
D35	systeme precision utilisateur resultat web information texte collection algorithme terme requete
D36	web resultat inverse systeme terme precision rappel index
D37	pertinent terme web algorithme requete indexation document precision inverse information texte
D38	document web pertinent collection moteur requete
D39	algorithme rappel systeme terme pertinent
D40	collection web information utilisateur precision indexation rappel classement requete pertinent document
D41	inverse pertinent collection rappel algorithme texte moteur utilisateur classement index requete resultat
D42	systeme requete recherche indexation algorithme
D43	terme collection recherche indexation moteur utilisateur systeme index information
D44	recherche document precision index texte rappel inverse
D45	indexation collection utilisateur terme document resultat recherche classement texte rappel
D46	document requete resultat web classement
D47	web requete index precision pertinent indexation rappel information moteur terme utilisateur inverse
D48	information inverse texte systeme recherche pertinent moteur resultat document
D49	utilisateur terme pertinent recherche classement collection index document texte
D50	rappel inverse precision collection document index web systeme recherche resultat texte
D51	document terme web texte rappel moteur information index recherche indexation systeme inverse
D52	document web pertinent inverse algorithme utilisateur index requete information classement
D53	terme inverse systeme indexation document requete rappel information resultat
D54	collection systeme moteur inverse pertinent document rappel classement
D55	systeme moteur document indexation classement inverse texte
D56	algorithme terme systeme moteur resultat information inverse web rappel precision collection recherche
D57	precision document utilisateur resultat systeme recherche classement indexation moteur information
D58	systeme precision texte resultat information inverse
D59	terme classement precision moteur information inverse algorithme texte
D60	document precision indexation information inverse collection classement web requete resultat
D61	collection systeme utilisateur texte web precision indexation
D62	terme document systeme pertinent texte
D63	requete moteur terme document algorithme resultat indexation classement rappel
D64	moteur document utilisateur texte terme web algorithme classement collection precision requete
D65	web precision collection recherche rappel moteur
D66	index terme classement systeme inverse document resultat
D67	utilisateur pertinent precision rappel information terme
D68	systeme moteur texte algorithme indexation document web collection utilisateur resultat
D69	information web collection inverse resultat utilisateur moteur texte rappel precision pertinent requete
D70	utilisateur classement index collection resultat inverse texte moteur
D71	precision systeme web indexation index texte utilisateur document moteur recherche inverse
D72	rappel pertinent precision algorithme utilisateur information texte document moteur inverse
D73	web document inverse resultat collection precision recherche
D74	information texte precision collection inverse index systeme indexation pertinent recherche algorithme
D75	terme moteur algorithme information utilisateur resultat
D76	moteur classement resultat recherche document precision systeme pertinent algorithme requete utilisateur terme
D77	pertinent utilisateur inverse algorithme systeme recherche classement index terme precision rappel
D78	pertinent classement rappel recherche inverse collection
D79	utilisateur web recherche collection inverse systeme index
D80	document precision collection systeme recherche index web
D81	information texte collection requete recherche indexation algorithme systeme resultat pertinent web rappel
D82	information collection rappel terme indexation web texte
D83	classement indexation moteur document resultat recherche rappel pertinent systeme texte collection algorithme
D84	precision texte rappel classement requete recherche algorithme terme pertinent
D85	collection information terme requete pertinent texte indexation index resultat
D86	texte terme indexation classement precision rappel systeme requete moteur information index algorithme
D87	systeme indexation rappel utilisateur terme information resultat algorithme classement moteur collection
D88	systeme web indexation resultat collection inverse recherche classement rappel utilisateur index moteur
D89	document texte collection precision indexation
D90	moteur resultat information systeme document
D91	collection systeme texte information moteur terme inverse indexation
D92	resultat document moteur precision collection index indexation terme rappel pertinent
D93	recherche indexation classement precision texte resultat
D94	requete systeme resultat index utilisateur collection
D95	index pertinent moteur document resultat precision collection inverse information terme indexation utilisateur
D96	rappel systeme utilisateur algorithme indexation collection
D97	collection precision inverse pertinent index texte document
D98	classement recherche collection rappel resultat texte requete document
D99	document utilisateur texte classement web rappel
D100	algorithme document moteur terme systeme inverse resultat precision requete indexation classement
D101	moteur web precision information pertinent requete document
D102	indexation systeme terme inverse collection requete moteur information web
D103	rappel requete moteur utilisateur document algorithme terme classement
D104	indexation terme information recherche document precision algorithme
D105	index algorithme web recherche classement resultat terme requete moteur
D106	classement inverse texte utilisateur resultat information collection recherche document
D107	web classement resultat index terme utilisateur document indexation collection texte algorithme precision
D108	collection precision rappel pertinent terme algorithme inverse
D109	requete resultat inverse moteur pertinent recherche
D110	texte web inverse indexation terme resultat utilisateur collection precision
D111	indexation classement precision resultat algorithme rappel moteur inverse
D112	document texte precision resultat inverse
D113	algorithme collection information rappel utilisateur inverse classement terme
D114	utilisateur rappel recherche pertinent web document moteur collection indexation index texte algorithme
D115	information algorithme rappel index collection requete moteur systeme precision resultat inverse
D116	systeme pertinent moteur algorithme texte indexation classement resultat requete
D117	moteur index precision texte information recherche resultat document collection indexation
D118	precision resultat moteur systeme rappel indexation utilisateur algorithme document index web classement
D119	precision systeme rappel classement utilisateur inverse web recherche indexation collection
D120	web algorithme utilisateur recherche classement moteur
D121	information algorithme classement indexation texte document web terme
D122	information algorithme pertinent index recherche inverse indexation precision
D123	web index systeme precision classement rappel resultat
D124	moteur precision index terme classement
D125	terme indexation resultat systeme collection precision texte classement rappel web moteur
D126	index inverse requete utilisateur algorithme moteur texte resultat collection pertinent classement indexation
D127	collection rappel requete utilisateur pertinent precision terme algorithme index systeme indexation document
D128	information utilisateur document collection resultat terme moteur precision inverse
D129	index rappel requete algorithme moteur information utilisateur collection
D130	inverse information precision systeme rappel recherche algorithme index
D131	classement pertinent moteur recherche indexation index terme inverse texte web
D132	utilisateur terme systeme information document algorithme rappel pertinent
D133	indexation web systeme information texte
D134	indexation utilisateur information recherche algorithme classement resultat rappel systeme moteur inverse requete
D135	moteur precision resultat requete index texte information indexation document inverse systeme collection
D136	terme utilisateur index indexation texte
D137	precision terme document texte pertinent rappel resultat inverse indexation classement recherche
D138	texte inverse resultat requete terme moteur utilisateur collection web
D139	requete collection inverse information pertinent
