ID	Document
D1	recherche requete inverse rappel moteur collection
D2	rappel document web information recherche precision
D3	inverse precision recherche index web pertinent systeme utilisateur
D4	recherche indexation web terme requete document pertinent texte algorithme
D5	document texte pertinent collection precision utilisateur
D6	information resultat rappel pertinent texte systeme requete moteur terme
D7	algorithme index document information inverse texte moteur precision pertinent resultat
D8	requete resultat collection indexation rappel precision pertinent terme moteur texte information
D9	rappel inverse indexation resultat texte moteur terme
D10	terme information inverse algorithme systeme index moteur precision
D11	algorithme terme index classement texte resultat systeme inverse
D12	requete moteur inverse systeme web resultat utilisateur
D13	collection inverse moteur precision classement information texte recherche resultat document terme
D14	systeme document texte rappel resultat requete moteur classement recherche terme information
D15	terme pertinent utilisateur web indexation inverse recherche collection texte
D16	precision indexation systeme pertinent utilisateur web terme requete classement
D17	moteur collection indexation precision recherche utilisateur rappel inverse
D18	pertinent collection utilisateur inverse information
D19	algorithme document systeme classement rappel texte requete resultat
D20	moteur classement rappel indexation requete algorithme web
D21	index rappel systeme utilisateur texte terme resultat indexation inverse requete collection
D22	inverse systeme document terme recherche utilisateur
D23	algorithme inverse recherche document information pertinent classement rappel
D24	document precision inverse requete classement pertinent algorithme systeme collection utilisateur
D25	inverse classement web index pertinent information terme precision indexation texte rappel systeme
D26	pertinent information texte terme systeme
D27	index systeme rappel resultat moteur algorithme document classement
D28	inverse document resultat pertinent information terme requete recherche classement precision algorithme index
D29	classement index texte information indexation algorithme recherche resultat moteur inverse collection rappel
D30	moteur index utilisateur algorithme information rappel collection requete recherche indexation web resultat
D31	precision systeme indexation information document web classement algorithme utilisateur texte pertinent index
D32	algorithme inverse information document web terme
D33	requete index terme inverse systeme algorithme document rappel texte moteur
D34	terme document recherche resultat pertinent information requete classement web moteur algorithme indexation
D35	inverse collection utilisateur indexation resultat web
D36	systeme precision recherche utilisateur pertinent resultat document moteur information
D37	rappel moteur requete utilisateur index collection
D38	index requete precision classement algorithme resultat web recherche information terme
D39	requete information recherche terme moteur precision classement document collection inverse systeme
D40	rappel recherche pertinent document moteur requete algorithme indexation utilisateur resultat precision
D41	moteur information utilisateur collection algorithme resultat indexation pertinent terme texte classement
D42	rappel web moteur inverse indexation texte resultat document index recherche
D43	terme web inverse requete indexation texte collection
D44	texte information classement inverse index web
D45	collection utilisateur inverse rappel recherche terme pertinent index indexation moteur information resultat
D46	precision texte rappel terme recherche information moteur document utilisateur web
D47	pertinent web collection terme algorithme
D48	texte algorithme index requete information collection
D49	recherche precision rappel index collection algorithme information terme indexation utilisateur classement
D50	utilisateur precision systeme web terme index
D51	rappel moteur index web texte terme collection document utilisateur
D52	texte rappel recherche utilisateur precision pertinent index systeme classement
D53	resultat systeme algorithme index classement texte rappel collection document terme
D54	utilisateur precision terme document inverse rappel
D55	inverse index moteur recherche information pertinent systeme utilisateur classement
D56	web algorithme index texte classement rappel pertinent document terme recherche information resultat
D57	indexation precision resultat information inverse rappel web algorithme
D58	moteur resultat precision terme algorithme utilisateur web collection requete index texte inverse
D59	classement resultat requete inverse rappel texte algorithme
D60	inverse requete resultat document utilisateur pertinent moteur indexation texte algorithme information precision
D61	inverse texte moteur index document precision resultat
D62	rappel resultat web information index systeme classement algorithme utilisateur recherche
D63	classement recherche collection utilisateur texte web resultat index requete rappel precision
D64	classement inverse requete web systeme recherche index indexation
D65	indexation resultat moteur recherche texte utilisateur algorithme terme precision information index
D66	resultat indexation information requete texte algorithme pertinent
D67	terme systeme texte requete web moteur classement information inverse recherche precision algorithme
D68	inverse document information recherche systeme pertinent web precision utilisateur algorithme
D69	moteur classement pertinent index resultat collection systeme texte
D70	indexation pertinent systeme utilisateur algorithme precision recherche moteur resultat terme
D71	texte index document inverse pertinent collection systeme moteur terme utilisateur information
D72	collection rappel web systeme document
D73	recherche web classement pertinent algorithme indexation terme inverse collection document
D74	indexation precision requete classement resultat index web collection utilisateur moteur systeme
D75	document requete resultat inverse rappel utilisateur classement terme
D76	terme recherche classement systeme indexation inverse pertinent rappel moteur texte collection
D77	rappel recherche precision index document pertinent collection systeme inverse
D78	classement systeme resultat recherche document moteur pertinent index
D79	utilisateur algorithme collection classement rappel index precision requete
D80	collection resultat requete utilisateur rappel pertinent information systeme algorithme indexation
D81	rappel indexation index systeme classement moteur
D82	pertinent index utilisateur inverse collection document moteur recherche classement
D83	requete information algorithme utilisateur moteur terme web
D84	pertinent recherche utilisateur classement precision inverse indexation document algorithme moteur resultat information
D85	texte classement document information moteur rappel
D86	document inverse pertinent web algorithme texte requete index classement
D87	utilisateur algorithme web systeme information precision collection classement pertinent terme rappel moteur
D88	indexation inverse systeme document rappel recherche
D89	resultat classement utilisateur information inverse moteur collection systeme web algorithme precision
D90	requete algorithme index web pertinent systeme classement terme
D91	requete moteur document information indexation texte algorithme
D92	resultat pertinent systeme utilisateur texte moteur requete web inverse
D93	document information web terme requete recherche algorithme pertinent precision utilisateur collection resultat
D94	algorithme information indexation classement resultat precision moteur document utilisateur
D95	classement document systeme collection web indexation resultat terme information algorithme rappel
D96	classement utilisateur texte information resultat precision indexation moteur web systeme index
D97	rappel resultat web information index
D98	systeme classement resultat information index moteur requete document rappel inverse
D99	pertinent recherche inverse indexation utilisateur requete algorithme resultat index information systeme terme
D100	pertinent moteur classement utilisateur requete index web inverse texte systeme collection rappel
